sku,price
871 - 60,5.6336
871 - 90,7.4628
871,3.013
560 - 30,18.3885
560 - 60,33.9136
560 - 90,47.682
560,18.3885
561 - 30,24.794
561 - 60,47.3984
561 - 90,67.2408
561,24.794
742 - 1,5.796
742 - 3,14.84
742 - 6,26.8272
742,5.796
743 - 25,2.6335
743 - 50,4.9168
743 - 75,6.7824
743,2.6335
744 - 25,3.749
744 - 50,7
744 - 75,9.2664
744,3.749
1158 - 30,11.4195
1158 - 60,20.3504
1158 - 90,27.5832
1158,11.4195
1159 - 30,16.0885
1159 - 60,29.6688
1159 - 90,41.7312
1159,16.0885
16/Jan,1.2995
16/Mar,3.6288
16/Jun,6.6852
16,1.2995
819 - 32,73.301
819 - 64,140.1008
819 - 128,265.0536
819,73.301
562 - 6,6.67
562 - 18,17.08
562 - 30,23.6412
562,6.67
563 - 6,10.005
563 - 12,17.8528
563 - 18,24.6672
563,10.005
638 - 30,9.2345
638 - 60,16.4304
638 - 90,22.2696
638,9.2345
785 - 30,18.3885
785 - 60,33.9136
785 - 90,47.682
785,18.3885
767 - 30,38.3295
767 - 60,73.2704
767 - 90,103.9608
767,38.3295
768 - 30,13.225
768 - 60,23.3296
768 - 90,32.8212
768,13.225
769 - 30,22.264
769 - 60,41.8208
769 - 90,58.806
769,22.264
1035 - 10,56.12
1035 - 30,160.9104
1035 - 60,304.4088
1035,56.12
1036 - 10,18.239
1036 - 30,50.456
1036 - 60,94.608
1036,18.239
1037 - 10,29.4285
1037 - 30,84.3808
1037 - 60,159.624
1037,29.4285
1038 - 10 Mdi,16.13
1038,16.13
1039 - 2,64.676
1039 - 4,123.6256
1039 - 6,175.4028
1039,64.676
890 - 32,74.382
890 - 64,138.2976
890 - 128,266.7168
890,9.7175
891 - 32,49.6455
891 - 64,92.3104
891 - 128,178.0164
891,6.532
714 - 30,13.225
714 - 60,23.1504
714 - 90,31.9572
714,13.225
873 - 30,17.2385
873 - 60,31.7856
873 - 90,44.7012
873,17.2385
892 - 56,49.99
892 - 112,98.11
892,49.99
893 - 42,79.051
893 - 84,151.0992
893 - 126,214.38
893,79.051
894 - 56,81.24
894 - 112,159.43
894,81.23
895 - 56,149.97
895 - 112,294.34
895,149.97
896 - 30,5.0025
896 - 60,8.9264
896 - 90,12.3228
896,5.0025
897 - 30,8.027
897 - 60,14.3248
897 - 90,18.9216
897,8.027
898 - 30,11.3275
898 - 60,20.1824
898 - 90,27.3348
898,11.3275
899 - 30,16.1
899 - 60,29.6688
899 - 90,41.7312
899,16.1
181 - 30,12.581
181 - 60,22.008
181 - 90,30.3696
181,12.581
182 - 30,11.3275
182 - 60,20.1824
182 - 90,27.3348
182,11.3275
183 - 30,3.634
183 - 60,6.7648
183 - 90,8.9424
183,3.634
184 - 30,6.7275
184 - 60,12.04
184 - 90,15.8868
184,6.7275
185 - 30,8.004
185 - 60,14.2576
185 - 90,19.3104
185,8.004
186 - 30,11.5805
186 - 60,20.6192
186 - 90,27.9396
186,11.5805
812 - 30,10.1545
812 - 60,18.1104
812 - 90,24.5484
812,10.1545
813 - 30,16.2265
813 - 60,29.9264
813 - 90,42.0876
813,16.2265
814 - 30,26.956
814 - 60,51.52
814 - 90,73.0836
814,26.956
1 - 30,79.051
1 - 60,151.0992
1 - 90,214.38
1,79.051
572 - 30,19.5385
572 - 60,36.0192
572 - 90,50.6628
572,19.5385
573 - 30,20.6885
573 - 60,38.1472
573 - 90,53.6328
573,20.6885
574 - 30,52.5205
574 - 60,100.3744
574 - 90,142.4304
574,52.5205
575 - 30,33.787
575 - 60,64.5568
575 - 90,91.6056
575,33.787
9 - 1,2.7485
9 - 3,7.6832
9 - 6,13.554
9,2.7485
10 - 30,11.3275
10 -60,20.1824
10 - 90,27.3348
10,11.3275
11 - 30,19.757
11 - 60,36.456
11 - 90,51.2676
11,19.757
12 - 30,32.3265
12 - 60,61.8128
12 - 90,87.7068
12,32.3265
13 - 1,3.6685
13 - 3,9.8224
13 - 6,17.2908
13,3.6685
14 - 1,3.6685
14 - 3,9.8224
14 - 6,17.2908
14,3.6685
1088 - 30,187.47
1088 - 60,367.93
1088,187.47
535 - 30,22.5975
535 - 60,42.4368
535 - 90,59.6808
535,22.5975
361 - 30,57.4885
361 - 60,109.8832
361 - 90,155.9196
361,57.4885
362 - 30,170.3035
362 - 60,325.5392
362 - 90,461.8944
362,170.3035
413 - 24,35.7765
413 - 48,68.4096
413 - 84,113.238
413,35.7765
414 - 30,121.0835
414 - 60,231.448
414 - 90,328.4064
414,121.0835
720 - 100,99.98
720,99.98
876 - 32,60.4785
876 - 64,115.6064
876 - 128,218.7
876,60.4785
877 - 32,119.347
877 - 64,228.1216
877 - 128,431.5788
877,119.347
1203 - 30,14.6625
1203 - 60,25.8496
1203 - 90,36.3528
1203,14.6625
1204 - 30,36.639
1204 - 60,70.056
1204 - 90,99.4032
1204,36.639
1027 - 30,8.7515
1027 - 60,15.5904
1027 - 90,21.1464
1027,8.7515
1028 - 30,9.8095
1028 - 60,17.4832
1028 - 90,23.6952
1028,9.8095
26 - 30,11.3275
26 - 60,20.1824
26 - 90,27.3348
26,11.3275
1166 - 30,54.2225
1166 - 60,100.8224
1166 - 90,145.8324
1166,11.3275
1167 - 30,33.1315
1167 - 60,61.6112
1167 - 90,89.1216
1167,6.9115
723 - 30,33.373
723 - 60,63.784
723 - 90,90.504
723,33.373
1087 - 30,67.551
1087 - 60,129.1136
1087 - 90,183.2004
1087,67.551
1029 - 30,34.4885
1029 - 60,65.9344
1029 - 90,93.5496
1029,34.4885
931 - 20,28.75
931 - 40,54.9472
931 - 80,103.9392
931,28.75
439 - 30,15.755
439 - 60,29.0752
439 - 90,40.8888
439,15.755
1198 - 30,1.978
1198 - 60,3.696
1198 - 90,5.0868
1198,1.978
1199 - 30,3.013
1199 - 60,5.6336
1199 - 90,7.4628
1199,3.013
1200 - 30,3.9675
1200 - 60,7.3696
1200 - 90,9.7632
1200,3.9675
428 - 32,40.1235
428 - 64,74.6032
428 - 128,143.8884
428,5.5545
429 - 30,56.488
429 - 60,105.0224
429 - 90,151.902
429,10.0625
430 - 32,76.153
430 - 64,141.6016
430 - 128,273.078
430,9.9935
431 - 32,21.3555
431 - 64,38.976
431 - 128,75.1788
431,2.852
432 - 1,2.07
432 - 3,5.7904
432 - 6,10.2168
432,2.07
1092 - 1,3.588
1092 - 3,9.5648
1092 - 6,16.8588
1092,3.588
1093 - 30,28.75
1093 - 60,54.3984
1093 - 90,84.1968
1093,28.75
564 - 1,4.784
564 - 3,12.8128
564 - 6,22.1616
564,4.784
565 - 30,34.753
565 - 60,66.4272
565 - 90,94.2516
565,34.753
566 - 1,3.3465
566 - 3,8.9824
566 - 6,15.822
566,3.3465
